contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,ticker,midPrice,ask_bid_spread,expiration,days_to_exp,T,spot,moneyness,log_moneyness,bs_price
AMZN260320P00190000,2025-06-23 18:25:16+00:00,190.0,12.6,12.6,12.75,0.0,0.0,69.0,2891.0,0.3031991067504882,False,REGULAR,USD,put,2026-03-20,AMZN,12.675,0.15000000000000036,2026-03-20,268,0.7342465753424657,208.47000122070312,1.0972105327405428,0.09277107968939333,10.348532863780783
AMZN260320P00195000,2025-06-23 16:39:23+00:00,195.0,14.3,14.3,14.5,-0.4499998,-2.960525,66.0,1492.0,0.2971566867065429,False,REGULAR,USD,put,2026-03-20,AMZN,14.4,0.1999999999999993,2026-03-20,268,0.7342465753424657,208.47000122070312,1.069076929336939,0.06679559328613262,11.822911260945013
AMZN260320P00200000,2025-06-23 18:27:42+00:00,200.0,16.2,16.2,16.4,-0.61999893,-3.6860816,74.0,3948.0,0.2908396112060546,False,REGULAR,USD,put,2026-03-20,AMZN,16.299999999999997,0.1999999999999993,2026-03-20,268,0.7342465753424657,208.47000122070312,1.0423500061035156,0.04147778530184271,13.429397009740143
AMZN260320P00205000,2025-06-23 18:24:36+00:00,205.0,17.97,18.25,18.45,-0.73000145,-3.903751,24.0,1341.0,0.2841868457031249,False,REGULAR,USD,put,2026-03-20,AMZN,18.35,0.1999999999999993,2026-03-20,268,0.7342465753424657,208.47000122070312,1.0169268352229421,0.01678517271147131,15.17021362718161
AMZN260320P00210000,2025-06-23 19:59:37+00:00,210.0,20.6,20.5,20.7,-0.5100002,-2.4159176,86.0,955.0,0.2778087356567382,True,REGULAR,USD,put,2026-03-20,AMZN,20.6,0.1999999999999993,2026-03-20,268,0.7342465753424657,208.47000122070312,0.9927142915271577,-0.0073123788675892604,17.09434117566785
AMZN260320P00215000,2025-06-23 14:46:44+00:00,215.0,22.95,22.95,23.2,0.20000076,0.8791242,57.0,946.0,0.2723156265258788,True,REGULAR,USD,put,2026-03-20,AMZN,23.075,0.25,2026-03-20,268,0.7342465753424657,208.47000122070312,0.9696279126544332,-0.030842876277783357,19.254550505987922
AMZN260320P00220000,2025-06-23 18:27:09+00:00,220.0,25.28,25.6,25.8,-0.5299988,-2.053463,2.0,1263.0,0.2655102746582031,True,REGULAR,USD,put,2026-03-20,AMZN,25.700000000000003,0.1999999999999993,2026-03-20,268,0.7342465753424657,208.47000122070312,0.9475909146395597,-0.05383239450248208,21.503068177470468
AMZN260320P00225000,2025-06-18 16:20:55+00:00,225.0,25.44,28.35,28.7,0.0,0.0,42.0,435.0,0.2601392346191406,True,REGULAR,USD,put,2026-03-20,AMZN,28.525,0.34999999999999787,2026-03-20,268,0.7342465753424657,208.47000122070312,0.9265333387586806,-0.07630525035454065,24.04042395872891
AMZN260320P00230000,2025-06-18 16:49:45+00:00,230.0,28.21,31.0,32.1,0.0,0.0,74.0,343.0,0.2592847509765625,True,REGULAR,USD,put,2026-03-20,AMZN,31.55,1.1000000000000014,2026-03-20,268,0.7342465753424657,208.47000122070312,0.906391309655231,-0.09828415707331598,27.084111329140967
AMZN260320P00235000,2025-06-20 19:57:00+00:00,235.0,34.25,34.15,35.4,0.0,0.0,10.0,246.0,0.2542799182128906,True,REGULAR,USD,put,2026-03-20,AMZN,34.775,1.25,2026-03-20,268,0.7342465753424657,208.47000122070312,0.8871063881732048,-0.11979036229427958,30.020203218982516
AMZN260320P00240000,2025-06-23 18:53:54+00:00,240.0,37.75,37.95,39.5,4.0,11.851851,1.0,659.0,0.2591321646118164,True,REGULAR,USD,put,2026-03-20,AMZN,38.725,1.5499999999999972,2026-03-20,268,0.7342465753424657,208.47000122070312,0.8686250050862631,-0.14084377149211186,33.79282798029067
AMZN260320P00245000,2025-06-11 14:42:01+00:00,245.0,36.45,41.1,42.35,0.0,0.0,10.0,739.0,0.2407302490234374,True,REGULAR,USD,put,2026-03-20,AMZN,41.725,1.25,2026-03-20,268,0.7342465753424657,208.47000122070312,0.8508979641661352,-0.16146305869484762,36.227146651384004
AMZN260320P00250000,2025-06-10 15:06:54+00:00,250.0,41.03,45.0,46.1,0.0,0.0,1.0,490.0,0.2337112762451171,True,REGULAR,USD,put,2026-03-20,AMZN,45.55,1.1000000000000014,2026-03-20,268,0.7342465753424657,208.47000122070312,0.8338800048828126,-0.18166576601236695,39.608417848169836
AMZN260320P00255000,2025-05-13 18:33:43+00:00,255.0,47.8,45.95,46.7,0.0,0.0,3.0,175.0,0.1160977062988281,True,REGULAR,USD,put,2026-03-20,AMZN,46.325,0.75,2026-03-20,268,0.7342465753424657,208.47000122070312,0.8175294165517769,-0.20146839330854677,38.9572180427638
AMZN260320P00260000,2025-06-09 16:06:32+00:00,260.0,47.9,53.45,55.0,0.0,0.0,6.0,101.0,0.2396011099243163,True,REGULAR,USD,put,2026-03-20,AMZN,54.225,1.5499999999999972,2026-03-20,268,0.7342465753424657,208.47000122070312,0.8018076970027044,-0.22088647916564824,47.92466525917112
AMZN260618C00175000,2025-06-23 18:53:51+00:00,175.0,52.38,51.55,51.9,-1.1199989,-2.093456,4.0,2476.0,0.4308833767700196,True,REGULAR,USD,call,2026-06-18,AMZN,51.724999999999994,0.3500000000000014,2026-06-18,358,0.9808219178082191,208.47000122070312,1.1912571498325892,0.17500917792636533,56.11352971097945
AMZN260618C00180000,2025-06-23 19:38:03+00:00,180.0,48.45,48.15,48.45,-0.75,-1.5182185,22.0,4124.0,0.4219723330688476,True,REGULAR,USD,call,2026-06-18,AMZN,48.3,0.30000000000000426,2026-06-18,358,0.9808219178082191,208.47000122070312,1.1581666734483507,0.14683830095966902,52.629766399274615
AMZN260618C00185000,2025-06-23 19:21:21+00:00,185.0,45.3,44.85,45.15,-0.9000015,-1.9480553,29.0,7183.0,0.4139768075561523,True,REGULAR,USD,call,2026-06-18,AMZN,45.0,0.29999999999999716,2026-06-18,358,0.9808219178082191,208.47000122070312,1.12686487146326,0.11943932677155457,49.28248202905107
AMZN260618C00190000,2025-06-23 18:26:04+00:00,190.0,41.8,41.65,41.9,-0.79999924,-1.8497093,23.0,2267.0,0.4053709365844726,True,REGULAR,USD,call,2026-06-18,AMZN,41.775,0.25,2026-06-18,358,0.9808219178082191,208.47000122070312,1.0972105327405428,0.09277107968939333,45.97317675859573
AMZN260618C00195000,2025-06-23 19:24:23+00:00,195.0,39.25,38.55,38.85,-0.049999237,-0.12722452,13.0,2640.0,0.3981688601684571,True,REGULAR,USD,call,2026-06-18,AMZN,38.7,0.30000000000000426,2026-06-18,358,0.9808219178082191,208.47000122070312,1.069076929336939,0.06679559328613262,42.84908762741557
AMZN260618C00200000,2025-06-23 19:50:44+00:00,200.0,35.8,35.65,35.95,-1.9000015,-5.0397916,217.0,7626.0,0.3915771292114257,True,REGULAR,USD,call,2026-06-18,AMZN,35.8,0.30000000000000426,2026-06-18,358,0.9808219178082191,208.47000122070312,1.0423500061035156,0.04147778530184271,39.862799602870425
AMZN260618C00205000,2025-06-23 19:00:19+00:00,205.0,33.45,32.85,33.1,-0.8499985,-2.4781296,1609.0,2133.0,0.3842529837036132,True,REGULAR,USD,call,2026-06-18,AMZN,32.975,0.25,2026-06-18,358,0.9808219178082191,208.47000122070312,1.0169268352229421,0.01678517271147131,36.916573991505814
AMZN260618C00210000,2025-06-23 17:48:28+00:00,210.0,30.65,30.2,30.45,-0.8500004,-2.6356602,47.0,3447.0,0.3780579772949218,False,REGULAR,USD,call,2026-06-18,AMZN,30.325,0.25,2026-06-18,358,0.9808219178082191,208.47000122070312,0.9927142915271577,-0.0073123788675892604,34.156883418305654
