contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,ticker
AMZN250703C00240000,2025-06-23 19:46:32+00:00,240.0,0.03,0.02,0.03,-0.01,-25.0,24.0,956,0.3320379296875,False,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00245000,2025-06-23 19:27:01+00:00,245.0,0.02,0.02,0.03,-0.01,-33.333336,16.0,349,0.37305314453125,False,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00250000,2025-06-23 18:59:20+00:00,250.0,0.02,0.0,0.02,0.0,0.0,218.0,365,0.39453730468750003,False,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00255000,2025-06-23 19:37:13+00:00,255.0,0.01,0.0,0.01,-0.01,-50.0,1410.0,129,0.4062559375,False,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00260000,2025-06-23 14:27:30+00:00,260.0,0.01,0.0,0.01,0.0,0.0,1.0,110,0.437505625,False,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00265000,2025-06-20 13:35:20+00:00,265.0,0.01,0.0,0.01,0.0,0.0,3.0,21,0.476567734375,False,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00270000,2025-06-20 13:35:28+00:00,270.0,0.01,0.0,0.01,0.0,0.0,10.0,48,0.507817421875,False,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00275000,2025-06-23 13:42:33+00:00,275.0,0.01,0.0,0.01,-0.03,-75.0,1500.0,23,0.51562984375,False,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00280000,2025-06-16 17:55:32+00:00,280.0,0.01,0.0,0.21,0.0,0.0,1.0,38,0.7324245507812499,False,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703P00105000,2025-06-04 14:20:00+00:00,105.0,0.02,0.0,0.02,0.0,0.0,1.0,7,1.2812535937499998,False,REGULAR,USD,put,2025-07-03,AMZN
AMZN250703P00110000,2025-05-28 13:50:24+00:00,110.0,0.04,0.0,0.02,0.0,0.0,1.0,1,1.203128984375,False,REGULAR,USD,put,2025-07-03,AMZN
AMZN250703P00115000,2025-06-20 14:17:12+00:00,115.0,0.01,0.0,0.02,0.0,0.0,1.0,23,1.125004375,False,REGULAR,USD,put,2025-07-03,AMZN
AMZN250703P00120000,2025-06-17 13:34:29+00:00,120.0,0.04,0.0,0.02,0.0,0.0,1.0,1,1.0468797656250002,False,REGULAR,USD,put,2025-07-03,AMZN
AMZN250703P00130000,2025-06-13 18:57:39+00:00,130.0,0.02,0.0,0.01,0.01,100.0,1.0,207,0.8437515624999999,False,REGULAR,USD,put,2025-07-03,AMZN
AMZN250703P00135000,2025-06-18 17:38:37+00:00,135.0,0.02,0.0,0.01,0.0,0.0,1.0,26,0.7812521875,False,REGULAR,USD,put,2025-07-03,AMZN
AMZN250703P00140000,2025-06-16 19:48:20+00:00,140.0,0.02,0.0,0.02,0.0,0.0,3.0,5714,0.773439765625,False,REGULAR,USD,put,2025-07-03,AMZN
AMZN250703P00145000,2025-06-17 15:48:28+00:00,145.0,0.02,0.0,0.02,0.0,0.0,1.0,47,0.710940390625,False,REGULAR,USD,put,2025-07-03,AMZN
AMZN250703P00150000,2025-06-23 16:50:37+00:00,150.0,0.01,0.01,0.02,-0.02,-66.66667,22.0,7845,0.6718782812500002,False,REGULAR,USD,put,2025-07-03,AMZN
AMZN250703P00155000,2025-06-23 16:22:20+00:00,155.0,0.02,0.01,0.03,-0.02,-50.0,1.0,30,0.6289099609375001,False,REGULAR,USD,put,2025-07-03,AMZN
